"filename", "language", "CMake", "Markdown", "Batch", "C++", "JSON", "YAML", "Python", "XML", "Ini", "comment", "blank", "total"
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\README.md", "Markdown", 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, -8, -16
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\cmake\Windeployqt.cmake", "CMake", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\cmake\copySharedLibs.cmake", "CMake", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 49
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\cpack_install_script.bat", "Batch", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\config\cnt_config.yaml", "YAML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 2, 6
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\includes\Icnt_dispenser.h", "C++", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\includes\cnt_controller.h", "C++", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\includes\cnt_dispenser_vibration.h", "C++", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\src\cnt_controller.cpp", "C++", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 2, 29
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\src\cnt_dispenser_vibration.cpp", "C++", 0, 0, 0, 53, 0, 0, 0, 0, 0, -1, 6, 58
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\src\cnt_linear_motion.cpp", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, -3, 7
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cooling_system_submodule_cpp\README.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 8, 17
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cooling_system_submodule_cpp\config\ph_config.yaml", "YAML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cooling_system_submodule_cpp\dependencies\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
