"filename", "language", "C++", "Markdown", "YAML", "Docker", "Batch", "Shell Script", "Python", "HTML", "CMake", "JavaScript", "Java", "comment", "blank", "total"
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\.github\workflows\cmake.yml", "YAML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, 0
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\.github\workflows\cmake_qt_basic.yml", "YAML", 0, 0, -66, 0, 0, 0, 0, 0, 0, 0, 0, -5, -3, -74
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\.github\workflows\cmake_qt_jobs_seq.yml", "YAML", 0, 0, -91, 0, 0, 0, 0, 0, 0, 0, 0, -3, -3, -97
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\.github\workflows\cmake_qt_multijobs.yml", "YAML", 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 106
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\.github\workflows\cmake_qt_onejob.yml", "YAML", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 13, 3, 94
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\Dockerfile", "Docker", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, -8, -2, -5
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\cpack_install_script.bat", "Batch", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\modelLayer\cntAlignModel.cpp", "C++", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\modelLayer\cntAlignModel.h", "C++", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 23
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\modelLayer\coolingModel.cpp", "C++", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
