"filename", "language", "Batch", "Markdown", "C++", "YAML", "Docker", "CMake", "Shell Script", "Ini", "Python", "HTML", "CSS", "LaTeX", "JavaScript", "Makefile", "TeX", "XML", "C", "comment", "blank", "total"
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\.github\workflows\cmake.yml", "YAML", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 61
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\.github\workflows\cmake_qt_multijobs.yml", "YAML", 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 106
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\.github\workflows\cmake_qt_onejob.yml", "YAML", 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 3, 94
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\.github\workflows\docker_build_win_qt.yml", "YAML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\.github\workflows\docker_build_win_qt_img.yml", "YAML", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\Dockerfile", "Docker", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 14, 67
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\README.md", "Markdown", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\cmake\Windeployqt.cmake", "CMake", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 101
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\cmake\copySharedLibs.cmake", "CMake", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 49
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\cpack_install_script.bat", "Batch", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\database\Idatabase.cpp", "C++", 0, 0, 237, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 39, 281
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\database\Idatabase.h", "C++", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 64
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\database\aligningDB.cpp", "C++", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\database\aligningDB.h", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 22
